"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0006941" "GO:0006941" "striated muscle contraction" "66/2329" "176/14382" 5.53830990018068e-12 2.8658236319844e-09 2.38491813883378e-09 "ATP1A2/NEDD4L/KCNN2/ARG2/CACNA1S/NOS1/SLC9A1/MYH7/MYLK2/TNNC2/DMPK/TNNT1/RPS6KB1/MYL2/PDE4D/TNNC1/CASQ2/KCNJ8/FGF13/TNNT3/TNNI2/DTNA/CHRND/SCN7A/BIN1/TPM1/ATP1B1/CASQ1/ANK2/GSN/GSTO1/SCN2B/ALDOA/CACNA1C/KCNE4/HOMER1/GPD1L/TTN/TNNI1/MYL3/KCNJ3/ATP1A1/ZC3H12A/PGAM2/JSRP1/KCND3/VEGFB/JUP/ATP2A2/SCN4B/SYNM/CAV3/CTNNA3/STAC3/RYR1/ATP2A1/FLNA/MYH6/RYR2/CALM1/RCSD1/DMD/KLHL41/STRIT1/ACTN3/GJA5" 66
"GO:0031032" "GO:0031032" "actomyosin structure organization" "72/2329" "203/14382" 1.35136637993415e-11 6.40998119548767e-09 5.33434097342429e-09 "MYOC/CUL3/MYOM2/ARHGAP6/CNN2/FERMT2/CLASP1/MYBPC2/EPB41L1/ARHGAP28/SLC9A1/MYH7/CAPN3/SORBS1/MYH9/MYL9/RGCC/SFRP1/ARHGEF10/TNNT1/PDLIM1/MYL2/PHACTR1/SRF/PDGFRB/CNN3/PROX1/CCN2/TGFB3/PTK2B/OBSL1/SDC4/CNN1/TNNT3/MYH10/MYH11/ROCK2/FHOD1/TMOD1/ARRB1/MYPN/TPM1/MYLK3/SMAD4/MYOM3/CASQ1/ACTA1/PIK3R1/PAK1/RHOC/TTN/WASF2/F11R/CSRP1/ZYX/TMOD4/CLASP2/DLC1/SMAD3/LMOD2/S1PR1/FRMD3/MYOZ2/MYOZ1/CAV3/NEB/ACTG1/ARAP1/EVL/MYH6/ARHGEF15/KLHL41" 72
"GO:0007015" "GO:0007015" "actin filament organization" "124/2329" "434/14382" 3.25261312188904e-11 1.42414414536865e-08 1.18516267599196e-08 "CX3CL1/GAS7/TMSB10/MYOC/CUL3/ARHGAP6/NCKAP1/CNN2/SPTB/ACTN1/RHOBTB1/FERMT2/CLASP1/FAT1/CTTN/ARHGAP28/SLC9A1/PLEKHG2/SORBS1/TRIOBP/PLS3/RGCC/COTL1/SFRP1/ARHGEF10/COBL/PDLIM1/CSF3/NEDD9/PHACTR1/CAP2/SRF/DBN1/ACTR3/WIPF1/CNN3/PROX1/CCN2/TGFB3/PTK2B/CALD1/PREX1/SDC4/VASP/RHOT1/AIF1L/CDC42EP1/CNN1/ARPC1B/CAP1/KANK4/SWAP70/ROCK2/FHOD1/VILL/BIN1/TMOD1/ARRB1/RDX/ABI2/TPM1/TPM3/ACTA1/PIK3R1/SH3KBP1/DIAPH2/GSN/GAS2/PAK1/ESAM/CDC42EP2/ALDOA/PSTPIP2/RHOC/TTN/WASF2/SHROOM4/PPP1R9A/TAGLN2/F11R/DMTN/ZYX/ARHGAP35/ARPC5/TMOD4/ARPC2/CLASP2/SHROOM1/DLC1/SMAD3/MYO5B/TPM4/CDC42EP5/LMOD2/S1PR1/BCL2/CORO1B/RHOD/MARCKSL1/PAWR/CDC42EP4/MYADM/HCLS1/CAV3/NEB/RFLNB/ACTG1/GAS2L1/ARAP1/KANK3/EVL/FLNA/KANK2/SPTAN1/MYO1C/TPM2/MSRB1/ARHGEF15/CAPZA2/INF2/TMSB4X/ARPC1A/TWF2/SHANK3" 124
"GO:0044057" "GO:0044057" "regulation of system process" "129/2329" "462/14382" 7.0867924935597e-11 2.88128734809584e-08 2.39778693391118e-08 "CD38/TBXA2R/ATP1A2/TNFRSF1B/ADRB1/CELF2/CAMK2B/CACNB1/LMCD1/SREBF1/MGLL/FGFR1/KCNN2/DLGAP4/CACNA1S/ZMPSTE24/CTTN/MMP2/TBX5/NOS1/SLC9A1/MYH7/PDGFB/MYLK2/MYL9/TNNC2/DMPK/TNNT1/DVL1/P2RX1/RPS6KB1/SGCA/CACNG1/YWHAE/MYL2/BVES/SRF/TBX18/PDE4D/HRH2/TNNC1/PRKAG3/FAAH/SGK1/CASQ2/NR4A3/PTK2B/TBX2/KCNJ8/EGR2/DOCK4/ATP1B2/FGF13/CNN1/TNNT3/ROCK2/SPX/BIN1/CCN3/MSTN/PPP3CA/TPM1/MYOCD/SMAD4/APP/ATP1B1/CASQ1/ANK2/MLIP/EGFR/NOTCH1/CAMK2G/GSTO1/SCN2B/FOXO1/CACNA1C/EDNRA/KCNE4/GPD1L/DAB2/ATP2B2/TNNI1/MYL3/SELENON/KCNJ3/ATP1A1/ZC3H12A/PI16/NOS3/SMAD3/NPR1/SLN/TPPP/KCND3/APLN/DAG1/JUP/C1QTNF1/ATP2A2/SPHK1/SCN4B/IRX3/CAV3/CTNNA3/GRIN2A/SETD3/KCNJ12/TRDN/PPARA/RELN/ATP2A1/CACNA1H/FLNA/SLC22A5/MYH6/DLGAP2/RYR2/STK39/CALM1/DMD/SMTNL1/MYL5/STRIT1/ACTN3/SHANK3/GJA5/FXYD1/S1PR2/ADRA2B" 129
"GO:0060485" "GO:0060485" "mesenchyme development" "87/2329" "276/14382" 1.42315175816073e-10 5.40038653830059e-08 4.49416344682337e-08 "SEMA3F/MEOX1/SEMA3G/KITLG/FOXC1/TGFBR3/FERMT2/CLASP1/TEAD2/SEMA3C/FGFR1/TBX5/EFNB1/DDX17/FGF9/RGCC/NOMO3/SFRP1/TGFB1/ENG/ACTA2/DDX5/RBM24/PPP2CA/WNT5A/ACVR1/STAT1/EPHA4/NRP2/PKD2/TGFB3/TBX2/SOX9/POLR1B/TCF15/SIX1/LAMA5/EXOC4/LOXL2/ROCK2/TBX3/SDCBP/SEMA6D/PRICKLE1/TGFB1I1/SMAD4/ACTA1/NOTCH1/NCAM1/EDNRA/DAB2/ADAMTS5/TIAM1/RADIL/PDPN/FRZB/CLASP2/HEYL/PITX2/HEY1/NOS3/SPRED1/DCHS1/GREM1/SMAD3/VASN/TNXB/LDLRAD4/SEMA4C/TAPT1/ZFPM2/SIX2/BCL2/RPS7/BNC2/DAG1/BASP1/RFLNB/ZFP36L1/SEMA4D/HDAC2/FLNA/DACT3/MDM4/NOTCH4/PPP3R1/TGFBR3L" 87
"GO:0030335" "GO:0030335" "positive regulation of cell migration" "133/2329" "489/14382" 2.46967172888239e-10 8.78585717549912e-08 7.31152814471761e-08 "SEMA3F/CX3CL1/SEMA3G/CD74/ADGRA2/GRN/MYOC/RIPOR1/KITLG/SYNE2/HDAC7/MYLK/TGFBR3/SCARB1/FERMT2/CLASP1/SEMA3C/WDR62/MCAM/FGFR1/FAT1/MMP2/ICAM1/LAMB1/ITGA6/SUN2/PDGFB/CD99L2/FGF9/FLT1/SYDE1/PRKD2/TGFB1/CBLL1/SERPINE1/VSIR/ACTA2/RPS6KB1/NEDD9/RIPOR2/PTP4A1/VEGFA/SPARC/PDGFRB/WNT5A/GNAI2/ACVR1/IL1R1/EPHA4/PIK3R3/PROX1/NRP2/TRIM32/NR4A3/PGF/CD274/PTK2B/PREX1/SOX9/DOCK4/PODXL/LBP/ACTN4/SWAP70/ROCK2/ETS1/TLR4/SDCBP/RDX/THBS1/ADAM10/SEMA6D/MSTN/PPP3CA/NTRK3/CDH13/APP/AKT1/EPHA2/CCN1/ACKR3/PIK3R1/PLA2G7/EGFR/NOTCH1/PAK1/DAB2/THY1/ANGPT1/ADAMTS1/RHOC/TIAM1/FGF18/SH3RF2/DMTN/IL6R/ITGA5/PDPN/S100A11/CLASP2/ZC3H12A/NOS3/JCAD/JAM3/SMAD3/SEMA4C/LGALS9/S1PR1/BCL2/RHOD/VEGFB/HRAS/FUT1/SPHK1/FAM89B/ANO6/GATA2/CDH5/MYADM/CAMK1D/ACTG1/CSF1/IRS2/SEMA4D/RELN/FLNA/MYO1C/STK39/RACK1/TMSB4X/TWIST2/ITGB3/PECAM1" 133
"GO:0043501" "GO:0043501" "skeletal muscle adaptation" "17/2329" "22/14382" 3.98577461533588e-10 1.33453112414658e-07 1.11058735411836e-07 "MYOC/CAMK2B/CACNA1S/MYH7/TNNT1/RPS6KB1/TNNC1/NFATC1/MSTN/PPP3CA/ACTA1/CAMK2G/TNNI1/MYOZ2/ATP2A2/MYOZ1/ACTN3" 17
"GO:0003007" "GO:0003007" "heart morphogenesis" "76/2329" "237/14382" 8.66598024249155e-10 2.74037553001455e-07 2.28052111644514e-07 "FOXC1/TGFBR3/TEAD2/SEMA3C/SMARCD3/ZMPSTE24/FKBP1A/TBX5/MYH7/ASB2/MYLK2/EYA1/TGFB1/DNAH11/ENG/DVL1/ZMIZ1/NAGLU/MYL2/SRF/VEGFA/WNT5A/TNNC1/ACVR1/PROX1/NRP2/PKD2/TBX2/KCNJ8/SOX9/SIX1/FGFRL1/NOTCH2/TBX3/EGLN1/PIM1/SMAD6/LBX1/SEC24B/PRICKLE1/TPM1/GATA6/SMAD4/CCN1/NOTCH1/EDNRA/ADAMTS1/ADAMTS5/TTN/TNNI1/MYL3/HEYL/PITX2/HEY1/SOX17/DLC1/NOS3/DCHS1/SMAD3/ZFPM2/S1PR1/ASXL1/DAG1/HEG1/CAV3/SLIT3/RYR1/EPHB4/FLNA/MYH6/MDM4/RYR2/DLL1/ALPK2/SOX18/GJA5" 76
"GO:0043500" "GO:0043500" "muscle adaptation" "41/2329" "98/14382" 1.29645694671779e-09 3.85959741429208e-07 3.21192964535902e-07 "TNFRSF1B/MYOC/CYBA/CAMK2B/LMCD1/CACNA1S/SLC9A1/MYH7/TNNT1/RPS6KB1/SGCA/TNNC1/PRKAG3/NR4A3/NFATC1/ROCK2/MSTN/PPP3CA/GATA6/SMAD4/CASQ1/ACTA1/MLIP/GSN/NOTCH1/CAMK2G/FOXO1/TNNI1/SELENON/PI16/NOS3/SMAD3/GATM/MYOZ2/DAG1/ATP2A2/MYOZ1/CAV3/PPARA/MYH6/ACTN3" 41
"GO:0014706" "GO:0014706" "striated muscle tissue development" "72/2329" "222/14382" 1.37958923359763e-09 3.85959741429208e-07 3.21192964535902e-07 "IFRD1/FOXC1/TGFBR3/SEMA3C/FGFR1/ZMPSTE24/FKBP1A/TBX5/SLC9A1/MYH7/ASB2/MYLK2/FGF9/EYA1/TGFB1/ENG/NAGLU/SOX6/MYL2/BVES/SRF/VEGFA/TBX18/PDGFRB/WNT5A/TNNC1/ACVR1/ID2/PROX1/TBX2/KCNJ8/OBSL1/MYH11/NOTCH2/TBX3/EGLN1/ALPK3/PIM1/PRICKLE1/TPM1/MYLK3/RPL3L/MYOCD/GATA6/SMAD4/MEIS1/NOTCH1/EDNRA/SORBS2/TTN/TNNI1/MYL3/SGCB/PI16/HEY1/FRS2/GREM1/SMAD3/ZFPM2/S1PR1/HEG1/IRX3/FES/CAV3/NEB/MRTFB/PPARA/MYH6/RYR2/DLL1/ALPK2/GJA5" 72
"GO:0008015" "GO:0008015" "blood circulation" "121/2329" "444/14382" 1.42395547610916e-09 3.85959741429208e-07 3.21192964535902e-07 "CD38/TBXA2R/ATP1A2/ADRB1/CELF2/NEDD4L/FOXC1/GUCY1B1/SREBF1/FERMT2/KCNN2/ZMPSTE24/MMP2/TBX5/NOS1/SLC9A1/MYH7/PCSK5/KCNK6/CYB5R3/PDGFB/MYLK2/RENBP/NCALD/DMPK/TGFB1/COMP/ACTA2/P2RX1/YWHAE/SOD3/MYL2/BVES/VEGFA/TBX18/NPR3/PDE4D/HRH2/TNNC1/STAT1/ID2/FAAH/SGK1/CASQ2/TJP2/TBX2/KCNJ8/KLF2/DOCK4/ATP1B2/FGF13/TNNI2/ROCK2/SPX/SCN7A/BIN1/PRCP/MYOF/TPM1/MYLK3/GATA6/ATP1B1/ANK2/KCNMB1/EGFR/GSN/HTR7/GSTO1/SCN2B/PLCB3/CACNA1C/EDNRA/KCNE4/GPD1L/DDAH1/ANGPT1/TTN/ATP2B2/TNNI1/NPR2/ARHGAP35/MYL3/KCNJ3/ATP1A1/ZC3H12A/NOS3/NAV2/SMAD3/AR/NPR1/P2RY1/KCND3/APLN/VEGFB/JUP/ADCY6/ATP2A2/P2RY2/SCN4B/GPR4/IRX3/CDH5/CAV3/CTNNA3/KCNJ12/IMMP2L/TRDN/PPARA/ATP2A1/CACNA1H/FLNA/MYH6/RYR2/STK39/CALM1/DLL1/DMD/SMTNL1/GJA5/FXYD1/ADRA2B" 121
"GO:0060538" "GO:0060538" "skeletal muscle organ development" "59/2329" "169/14382" 1.88080967976784e-09 4.86616758965388e-07 4.04959021959582e-07 "MYOM2/XK/YBX3/PITX1/CACNA1S/MYL6/TLL2/DDX17/ASB2/MYLK2/TGFB1/CAV2/PPP3CB/NEURL1/RPS6KB1/DDX5/RBM24/BVES/FXR1/SMYD1/EGR1/CNTFR/EGR2/GPCPD1/SIX1/FGFRL1/ASS1/POPDC3/CHRND/FLNB/NIBAN2/MSTN/PPP3CA/MYOCD/CASQ1/ACTA1/MEGF10/NOTCH1/HOMER1/SELENON/HEYL/MYORG/IGF2/VGLL2/BCL2/MYOZ2/DAG1/BASP1/MYOZ1/MYL11/SRPK3/MAFF/STAC3/RYR1/MYL6B/DLL1/DMD/KLHL41/ACTN3" 59
