"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0015934" "GO:0015934" "large ribosomal subunit" "57/2425" "118/19894" 5.00205347042596e-22 3.23769279176662e-20 2.54649994858049e-20 "RPL18/RPL31/RPL6/RPLP0/RPL3/RPL18A/RPL28/RPL19/MRPL27/RPL34/MRPL51/MRPL18/RPL24/RPL22/RPL21/RPL5/RPL23/RPL36/RPL27/RPL35/RPLP1/RPL3L/RPL13A/MRPL9/RPL32/RPL37/RPL10/RPL7/RPL7A/RPL30/RPL8/RPL26/RPL29/RPL9/RPL36AL/RPL27A/RPL13/MRPL1/RSL1D1/RPL38/RPL4/RPL15/RPLP2/MRPL41/RPL35A/RPL14/RPL37A/RPL12/RPL23A/RPL10A/RPL39/MRPL23/UBA52/RPL41/RPL36A/MRPL20/RPL17" 57
"GO:0031674" "GO:0031674" "I band" "56/2425" "145/19894" 3.82985228017896e-16 2.27237901957285e-14 1.78726439741685e-14 "SYNE2/ACTN1/FERMT2/KCNN2/CACNA1S/FKBP1A/MYH7/CAPN3/ASB2/MYL9/STUB1/JPH1/PDLIM1/PPP3CB/CRYAB/FHL5/CASQ2/PDLIM2/OBSL1/RTN2/PALLD/ACTN4/PDLIM4/CAB39/FLNB/BIN1/MYPN/PPP3CA/UNC45B/CASQ1/ANK2/PAK1/ALDOA/CACNA1C/HOMER1/SORBS2/TTN/CSRP1/MYL3/SYNC/CAVIN4/MYOZ2/JUP/KY/MYOZ1/CAV3/NEB/FHL3/RYR1/PDLIM7/FLNA/MYH6/RYR2/DMD/SMTNL1/ACTN3" 56
"GO:0015935" "GO:0015935" "small ribosomal subunit" "38/2425" "79/19894" 4.45652211083217e-15 2.44080287916346e-13 1.91973260158924e-13 "RPS20/MRPS24/RPS5/RPS16/RPS19/RPS13/RPS12/MRPS27/RPS15/MRPS15/RPS25/RPS10/MRPS12/RPS15A/RPS6/RPS24/RPS2/RPS11/RPS8/EIF2D/RPS27A/RPS3A/RPS3/FAU/RPS14/RPSA/RPS9/RPS21/RPS7/RPS27/RPS17/RPS23/RPS26/RPS4X/RACK1/RPS29/UBA52/RPS18" 38
"GO:0030018" "GO:0030018" "Z disc" "51/2425" "131/19894" 5.38089465665672e-15 2.73656928252828e-13 2.15235786266269e-13 "SYNE2/ACTN1/KCNN2/FKBP1A/MYH7/CAPN3/ASB2/MYL9/STUB1/JPH1/PDLIM1/PPP3CB/CRYAB/FHL5/CASQ2/PDLIM2/OBSL1/RTN2/PALLD/ACTN4/PDLIM4/CAB39/FLNB/BIN1/MYPN/PPP3CA/UNC45B/CASQ1/ANK2/PAK1/CACNA1C/HOMER1/SORBS2/TTN/CSRP1/SYNC/CAVIN4/MYOZ2/JUP/KY/MYOZ1/CAV3/NEB/FHL3/RYR1/PDLIM7/FLNA/MYH6/RYR2/DMD/ACTN3" 51
"GO:0032432" "GO:0032432" "actin filament bundle" "41/2425" "95/19894" 3.99035644489788e-14 1.89408919251153e-12 1.48973307276187e-12 "CNN2/MYLK/ACTN1/FERMT2/MYH7/SORBS1/ABLIM1/MYH9/ASB2/MYL9/PLS3/PDLIM1/ACTA2/CRYAB/PDLIM2/CALD1/PPP1R12C/PALLD/ACTN4/PDLIM4/MYH10/FHOD1/FLNB/TLNRD1/TPM1/TPM3/ACTA1/GAS2/DIXDC1/SHROOM4/ZYX/TPM4/CORO1B/FHL3/RFLNB/SEPTIN9/GAS2L1/EVL/PDLIM7/FLNA/MYH6" 41
"GO:0001725" "GO:0001725" "stress fiber" "37/2425" "85/19894" 5.02100113443935e-13 2.10291341630636e-11 1.65397684428590e-11 "CNN2/MYLK/ACTN1/FERMT2/MYH7/SORBS1/ABLIM1/MYH9/ASB2/MYL9/PDLIM1/ACTA2/PDLIM2/CALD1/PPP1R12C/PALLD/ACTN4/PDLIM4/MYH10/FHOD1/FLNB/TLNRD1/TPM1/TPM3/ACTA1/GAS2/DIXDC1/SHROOM4/ZYX/TPM4/CORO1B/FHL3/SEPTIN9/GAS2L1/EVL/PDLIM7/MYH6" 37
"GO:0097517" "GO:0097517" "contractile actin filament bundle" "37/2425" "85/19894" 5.02100113443935e-13 2.10291341630636e-11 1.65397684428590e-11 "CNN2/MYLK/ACTN1/FERMT2/MYH7/SORBS1/ABLIM1/MYH9/ASB2/MYL9/PDLIM1/ACTA2/PDLIM2/CALD1/PPP1R12C/PALLD/ACTN4/PDLIM4/MYH10/FHOD1/FLNB/TLNRD1/TPM1/TPM3/ACTA1/GAS2/DIXDC1/SHROOM4/ZYX/TPM4/CORO1B/FHL3/SEPTIN9/GAS2L1/EVL/PDLIM7/MYH6" 37
"GO:0042641" "GO:0042641" "actomyosin" "38/2425" "91/19894" 1.18659129196307e-12 4.69362777709836e-11 3.69161735277399e-11 "CNN2/MYLK/ACTN1/FERMT2/MYH7/SORBS1/ABLIM1/MYH9/ASB2/MYL9/PDLIM1/ACTA2/DBN1/PDLIM2/CALD1/PPP1R12C/PALLD/ACTN4/PDLIM4/MYH10/FHOD1/FLNB/TLNRD1/TPM1/TPM3/ACTA1/GAS2/DIXDC1/SHROOM4/ZYX/TPM4/CORO1B/FHL3/SEPTIN9/GAS2L1/EVL/PDLIM7/MYH6" 38
"GO:0005912" "GO:0005912" "adherens junction" "59/2425" "188/19894" 2.52360466986938e-12 9.45687644708947e-11 7.43799271119396e-11 "CYTH3/LRRC7/TNK2/PALS1/PVR/FERMT2/RAB10/ITGA6/SORBS1/MYH9/CDH20/CD99L2/NDRG1/PDLIM1/VEGFA/CDH6/EPHA4/PARK7/IGSF21/SSX2IP/CNN3/TJP2/PDLIM2/CDC42EP1/CDH15/NECTIN2/AFDN/PDLIM4/TMEM204/NIBAN2/TLN1/SDCBP/RDX/ADAM10/ABI2/ARHGAP24/CDH13/TBCD/LIMD1/MSN/NOTCH1/ESAM/SHROOM4/ZYX/S100A11/SHROOM1/JCAD/FRS2/DAG1/JUP/CDH4/CDC42EP4/CDH5/SYNM/CTNNA3/PIP5K1C/PDLIM7/CTNND1/DLL1" 59
"GO:0005884" "GO:0005884" "actin filament" "44/2425" "119/19894" 3.17473680246053e-12 1.13020630167595e-10 8.88926304688948e-11 "GAS7/ARHGAP6/NCKAP1/MYO9A/ACTN1/KEAP1/CTTN/PLS3/COTL1/COBL/PDLIM1/WIPF1/PDLIM2/AMOT/AIF1L/PALLD/PDLIM4/TMOD1/TPM1/TPM3/ACTA1/DIAPH2/GAS2/PAK1/PSTPIP2/SHROOM4/DMTN/JAM3/TPM4/LMOD2/CORO1B/PAWR/ACTG1/GAS2L1/SMTNL2/PDLIM7/FLNA/MYO1C/TPM2/RCSD1/INF2/SMTNL1/TWF2/ACTN3" 44
"GO:0042383" "GO:0042383" "sarcolemma" "47/2425" "141/19894" 4.07507859739114e-11 1.38164569587738e-09 1.08668762597097e-09 "ATP1A2/CACNB1/CACNA1S/NOS1/SLC9A1/CAPN3/CAV2/PPP3CB/SGCA/CACNG1/BVES/STBD1/TGFB3/KCNJ8/RTN2/FGF13/CACNG6/POPDC3/DTNA/DYSF/BIN1/RDX/PPP3CA/ATP1B1/CASQ1/ANK2/MLIP/SCN2B/CACNA1C/SYNC/KCNJ3/SGCB/ATP1A1/CAVIN4/KCND3/SNTB1/DAG1/SYNM/BGN/CAV3/STAC3/RYR1/ANXA6/RYR2/DMD/PPP3R1/FXYD1" 47
"GO:0031252" "GO:0031252" "cell leading edge" "98/2425" "426/19894" 2.48372739752814e-10 8.03824503200015e-09 6.32221519370798e-09 "CYTH3/CD44/SH3YL1/KITLG/SYNE2/NCKAP1/MYLK/RASGRP2/PABPC1/ACTN1/FERMT2/FAT1/CTTN/SNX5/SLC9A1/SH2D3C/ABLIM1/MYH9/PIEZO1/COBL/ACTA2/ABI3/MPP2/NEDD9/RIPOR2/ACTR3/NRBP1/WIPF1/AAK1/SSX2IP/PKD2/ARAP3/PTK2B/VASP/AMOT/AIF1L/ATF4/PODXL/PALLD/KCNC1/PDLIM4/MYH10/SWAP70/ARHGEF4/TLR4/TLN1/RDX/ABI2/TPM1/AKT1/EPHA2/ACTA1/EGFR/GSN/PAK1/RPS3/THY1/SH3RF1/SORBS2/FGD5/PSD3/TIAM1/EEF1A1/ATP2B2/WASF2/ITGA5/PDPN/ARPC5/S100A11/ARPC2/CLASP2/DLC1/JCAD/STX3/ARF4/TLN2/CORO1B/DAG1/FAM89B/MYADM/FGD6/CTNNA3/INPP5J/P4HB/PIP5K1C/SPRY4/SHISA6/EVL/PDLIM7/MYO1C/S100A6/CTNND1/LDB1/LAYN/KLHL41/STON1/TWF2/ITGB3" 98
"GO:0030315" "GO:0030315" "T-tubule" "24/2425" "51/19894" 8.68831697361286e-10 2.68960073270102e-08 2.11541630661878e-08 "ATP1A2/CACNB1/CACNA1S/SLC9A1/CAPN3/PPP3CB/CACNG1/STBD1/TGFB3/RTN2/CACNG6/DYSF/BIN1/RDX/ATP1B1/CASQ1/ANK2/SCN2B/CACNA1C/KCNJ3/ATP1A1/CAV3/STAC3/FXYD1" 24
"GO:0005865" "GO:0005865" "striated muscle thin filament" "14/2425" "22/19894" 1.89593794211177e-08 5.62461589493157e-07 4.42385519826079e-07 "TNNC2/TNNT1/TNNC1/TNNT3/TNNI2/TMOD1/TPM1/TPM3/ACTA1/TNNI1/TMOD4/TPM4/LMOD2/TPM2" 14
"GO:0036379" "GO:0036379" "myofilament" "15/2425" "26/19894" 3.85782634851433e-08 1.09870894405688e-06 8.64153102067209e-07 "TNNC2/TNNT1/TNNC1/TRIM32/TNNT3/TNNI2/TMOD1/TPM1/TPM3/ACTA1/TNNI1/TMOD4/TPM4/LMOD2/TPM2" 15
"GO:0098857" "GO:0098857" "membrane microdomain" "68/2425" "287/19894" 4.03432165165561e-08 1.10478346768415e-06 8.68930817279669e-07 "LAMP2/ATP1A2/EHD2/TNFRSF1B/GAB2/LCP2/HYAL2/SCARB1/SYNJ2/LIPE/NOS1/SLC9A1/ICAM1/EFNB1/SORBS1/PGK1/IKBKB/CAV2/UNC5B/SGCA/CBL/LDHB/BVES/PPP2CA/PRKAR2A/PARK7/CTSD/PODXL/CDH15/RFTN1/SULF1/SDCBP/MYOF/ENTPD1/CDH13/NPC1/APP/EFHD2/EGFR/STOM/SERPINH1/THY1/ANGPT1/PDPN/ATP1A1/DLC1/NOS3/ABCA1/SPRED1/TPP1/INPP5D/CD14/CAVIN4/S1PR1/DAG1/RGMB/MYADM/CAV3/RTN4RL2/FYB2/MME/MYO1C/ARC/DLL1/DMD/ADGRG1/PECAM1/FXYD1" 68
"GO:0005859" "GO:0005859" "muscle myosin complex" "11/2425" "15/19894" 7.37333639572043e-08 1.94437611620479e-06 1.52928458577905e-06 "MYH7/MYL9/MYH1/MYH2/MYH11/MYL3/MYL1/MYL11/MYL6B/MYH6/MYL5" 11
"GO:0016460" "GO:0016460" "myosin II complex" "15/2425" "27/19894" 7.69889382342797e-08 1.95771871510026e-06 1.53977876468559e-06 "MYH7B/MYH7/MYL6/MYH9/MYL9/MYH1/MYH2/MYH10/MYH11/MYL3/MYL1/MYL11/MYL6B/MYH6/MYL5" 15
"GO:0045121" "GO:0045121" "membrane raft" "67/2425" "286/19894" 8.03644362641687e-08 1.97308546965821e-06 1.55186497613567e-06 "ATP1A2/EHD2/TNFRSF1B/GAB2/LCP2/HYAL2/SCARB1/SYNJ2/LIPE/NOS1/SLC9A1/ICAM1/EFNB1/SORBS1/PGK1/IKBKB/CAV2/UNC5B/SGCA/CBL/LDHB/BVES/PPP2CA/PRKAR2A/PARK7/CTSD/PODXL/CDH15/RFTN1/SULF1/SDCBP/MYOF/ENTPD1/CDH13/NPC1/APP/EFHD2/EGFR/STOM/SERPINH1/THY1/ANGPT1/PDPN/ATP1A1/DLC1/NOS3/ABCA1/SPRED1/TPP1/INPP5D/CD14/CAVIN4/S1PR1/DAG1/RGMB/MYADM/CAV3/RTN4RL2/FYB2/MME/MYO1C/ARC/DLL1/DMD/ADGRG1/PECAM1/FXYD1" 67
"GO:0030027" "GO:0030027" "lamellipodium" "52/2425" "203/19894" 1.13660673152058e-07 2.69754664280884e-06 2.12166589883842e-06 "CD44/KITLG/SYNE2/NCKAP1/MYLK/PABPC1/FERMT2/FAT1/CTTN/SLC9A1/ABLIM1/PIEZO1/ACTA2/ABI3/NEDD9/ACTR3/NRBP1/PKD2/ARAP3/PTK2B/VASP/AMOT/PODXL/PALLD/PDLIM4/MYH10/SWAP70/RDX/ABI2/AKT1/EPHA2/ACTA1/GSN/PAK1/SH3RF1/SORBS2/FGD5/WASF2/PDPN/ARPC5/ARPC2/STX3/CORO1B/DAG1/FAM89B/FGD6/CTNNA3/P4HB/EVL/CTNND1/TWF2/ITGB3" 52
"GO:0016529" "GO:0016529" "sarcoplasmic reticulum" "27/2425" "76/19894" 1.25083561163316e-07 2.87288695317036e-06 2.25957400811152e-06 "SYNE2/CAMK2B/IRAG1/CACNA1S/FKBP1A/NOS1/ITPR3/JPH1/DMPK/CASQ2/RTN2/THBS1/CASQ1/CAMK2G/HK2/AGL/CMYA5/JSRP1/SLN/ATP2A2/TRDN/RYR1/ATP2A1/ASPH/RYR2/KLHL41/STRIT1" 27
"GO:0001726" "GO:0001726" "ruffle" "48/2425" "182/19894" 1.33430992055023e-07 2.96883957322427e-06 2.33504236096291e-06 "CYTH3/SH3YL1/NCKAP1/RASGRP2/ACTN1/CTTN/SNX5/SH2D3C/MYH9/COBL/WIPF1/ARAP3/AMOT/AIF1L/PODXL/PALLD/ARHGEF4/TLR4/TLN1/TPM1/EPHA2/EGFR/PAK1/RPS3/FGD5/PSD3/TIAM1/EEF1A1/WASF2/ITGA5/PDPN/S100A11/CLASP2/DLC1/JCAD/ARF4/TLN2/MYADM/FGD6/INPP5J/PIP5K1C/SPRY4/PDLIM7/MYO1C/S100A6/LAYN/KLHL41/ITGB3" 48
"GO:0016528" "GO:0016528" "sarcoplasm" "31/2425" "95/19894" 1.40968099820805e-07 3.04149354764889e-06 2.39218593635306e-06 "IFRD1/SYNE2/CAMK2B/IRAG1/CACNA1S/FKBP1A/NOS1/ITPR3/JPH1/DMPK/CASQ2/RTN2/NFATC1/THBS1/CASQ1/GSN/CAMK2G/HK2/AGL/CMYA5/JSRP1/SLN/CAVIN4/ATP2A2/TRDN/RYR1/ATP2A1/ASPH/RYR2/KLHL41/STRIT1" 31
"GO:0033017" "GO:0033017" "sarcoplasmic reticulum membrane" "19/2425" "44/19894" 2.71931690389044e-07 5.69456951638233e-06 4.47887490052543e-06 "SYNE2/CAMK2B/FKBP1A/JPH1/DMPK/CASQ2/RTN2/CASQ1/CAMK2G/JSRP1/SLN/ATP2A2/TRDN/RYR1/ATP2A1/ASPH/RYR2/KLHL41/STRIT1" 19
